load_factor,wire_tension_n,wire_utilization,tip_deflection_m,tip_deflection_utilization,cfrp_global_stress_utilization,local_buckling_utilization_est,twist_utilization,event,interpretation
1.0,1512.0428477460762,0.2520071412910127,0.771580799994721,0.30258070588028274,0.17903867727671685,0.08066866757701557,0.04614741865260773,within_model_margins,no modeled limit is exceeded at this load factor
1.25,1890.0535596825953,0.3150089266137659,0.9644759999934012,0.3782258823503534,0.22379834659589606,0.10083583447126947,0.05768427331575966,within_model_margins,no modeled limit is exceeded at this load factor
1.5,2268.064271619114,0.37801071193651903,1.1573711999920815,0.45387105882042417,0.2685580159150753,0.12100300136552336,0.06922112797891158,within_model_margins,no modeled limit is exceeded at this load factor
1.75,2646.0749835556335,0.4410124972592723,1.3502663999907616,0.5295162352904947,0.3133176852342545,0.14117016825977724,0.08075798264206352,within_model_margins,no modeled limit is exceeded at this load factor
2.0,3024.0856954921524,0.5040142825820254,1.543161599989442,0.6051614117605655,0.3580773545534337,0.16133733515403115,0.09229483730521545,within_model_margins,no modeled limit is exceeded at this load factor
2.25,3402.0964074286712,0.5670160679047785,1.7360567999881222,0.6808065882306362,0.4028370238726129,0.18150450204828505,0.10383169196836739,within_model_margins,no modeled limit is exceeded at this load factor
2.5,3780.1071193651906,0.6300178532275318,1.9289519999868023,0.7564517647007069,0.4475966931917921,0.20167166894253893,0.11536854663151933,within_model_margins,no modeled limit is exceeded at this load factor
2.75,4158.11783130171,0.693019638550285,2.1218471999854827,0.8320969411707776,0.49235636251097137,0.2218388358367928,0.12690540129467126,within_model_margins,no modeled limit is exceeded at this load factor
3.0,4536.128543238228,0.7560214238730381,2.314742399984163,0.9077421176408483,0.5371160318301506,0.24200600273104672,0.13844225595782317,within_model_margins,no modeled limit is exceeded at this load factor
3.25,4914.139255174748,0.8190232091957913,2.5076375999828433,0.983387294110919,0.5818757011493297,0.26217316962530063,0.1499791106209751,within_model_margins,no modeled limit is exceeded at this load factor
3.304903,4997.15494364455,0.8328591572740917,2.5499997006449533,0.9999998826058641,0.5917054616478533,0.2666021214812815,0.15251274234725923,tip_deflection_limit_exceeded,tip deflection design limit is exceeded first; the wing has become too flexible before wire rupture
3.5,5292.149967111267,0.8820249945185445,2.700532799981523,1.0590324705809895,0.626635370468509,0.2823403365195545,0.16151596528412704,tip_deflection_limit_exceeded,tip deflection design limit is exceeded first; the wing has become too flexible before wire rupture
3.75,5670.160679047785,0.9450267798412976,2.8934279999802035,1.1346776470510602,0.6713950397876882,0.3025075034138084,0.17305281994727897,tip_deflection_limit_exceeded,tip deflection design limit is exceeded first; the wing has become too flexible before wire rupture
3.968142,6000.00072994081,1.0000001216568017,3.061742178852652,1.200683207393197,0.7104508949261857,0.3201047278963937,0.18311951014699612,wire_allowable_exceeded,"wire reaches the conservative 6 kN allowable; this is an allowable violation, not proof of physical snapping"
4.0,6048.171390984305,1.0080285651640508,3.086323199978884,1.210322823521131,0.7161547091068674,0.3226746703080623,0.1845896746104309,wire_allowable_exceeded,"wire reaches the conservative 6 kN allowable; this is an allowable violation, not proof of physical snapping"
4.25,6426.182102920824,1.071030350486804,3.279218399977564,1.2859679999912017,0.7609143784260466,0.3428418372023162,0.19612652927358284,wire_allowable_exceeded,"wire reaches the conservative 6 kN allowable; this is an allowable violation, not proof of physical snapping"
4.5,6804.1928148573425,1.134032135809557,3.4721135999762445,1.3616131764612724,0.8056740477452258,0.3630090040965701,0.20766338393673478,wire_allowable_exceeded,"wire reaches the conservative 6 kN allowable; this is an allowable violation, not proof of physical snapping"
4.75,7182.203526793862,1.1970339211323102,3.6650087999749243,1.437258352931343,0.8504337170644051,0.38317617099082396,0.21920023859988672,wire_allowable_exceeded,"wire reaches the conservative 6 kN allowable; this is an allowable violation, not proof of physical snapping"
5.0,7560.214238730381,1.2600357064550636,3.8579039999736047,1.5129035294014137,0.8951933863835843,0.40334333788507787,0.23073709326303865,wire_allowable_exceeded,"wire reaches the conservative 6 kN allowable; this is an allowable violation, not proof of physical snapping"
5.25,7938.2249506668995,1.3230374917778165,4.050799199972285,1.5885487058714847,0.9399530557027634,0.4235105047793318,0.24227394792619056,wire_allowable_exceeded,"wire reaches the conservative 6 kN allowable; this is an allowable violation, not proof of physical snapping"
5.5,8316.23566260342,1.38603927710057,4.243694399970965,1.6641938823415552,0.9847127250219427,0.4436776716735856,0.2538108025893425,wire_allowable_exceeded,"wire reaches the conservative 6 kN allowable; this is an allowable violation, not proof of physical snapping"
5.585385,8445.341441158216,1.4075569068597027,4.309575826578514,1.6900297359131429,0.999999942481215,0.4505655658546491,0.2577510999309954,cfrp_global_bending_stress_exceeded,global CFRP bending stress allowable is exceeded in the fixed-design estimate
5.75,8694.246374539938,1.449041062423323,4.436589599969645,1.7398390588116257,1.029472394341122,0.46384483856783953,0.26534765725249443,cfrp_global_bending_stress_exceeded,global CFRP bending stress allowable is exceeded in the fixed-design estimate
6.0,9072.257086476457,1.5120428477460761,4.629484799968326,1.8154842352816967,1.074232063660301,0.48401200546209344,0.27688451191564634,cfrp_global_bending_stress_exceeded,global CFRP bending stress allowable is exceeded in the fixed-design estimate
